"Vármegye","Egyéni választókerület","Választókerület jelöltjeire szavazók aktuális száma","Hazai szavazókörben lakcím szerint szavazók száma","Belföldön más OEVK-ba átjelentkezettek száma","Külképviseleten szavazók száma","Választókerületi névjegyzékben szereplő választópolgárok aktuális száma","Hazai szavazókörben lakcím szerint szavazók száma ","OEVK-ba átjelentkezett szavazók száma"
"Szabolcs-Szatmár-Bereg vármegye","Szabolcs-Szatmár-Bereg vármegye, 05. számú egyéni választókerület","70 917","68 147","2 419","351","68 858","68 147","711"
"Szabolcs-Szatmár-Bereg vármegye","Szabolcs-Szatmár-Bereg vármegye, 06. számú egyéni választókerület","70 419","68 056","1 978","385","68 736","68 056","680"
"Tolna vármegye","Tolna vármegye, 01. számú egyéni választókerület","57 104","54 900","1 679","525","55 682","54 900","782"
"Tolna vármegye","Tolna vármegye, 02. számú egyéni választókerület","56 310","54 343","1 510","457","55 028","54 343","685"
"Tolna vármegye","Tolna vármegye, 03. számú egyéni választókerület","56 787","54 749","1 649","389","55 481","54 749","732"
"Vas vármegye","Vas vármegye, 01. számú egyéni választókerület","67 212","64 705","1 921","586","66 533","64 705","1 828"
"Vas vármegye","Vas vármegye, 02. számú egyéni választókerület","66 919","64 700","1 817","402","66 088","64 700","1 388"
"Vas vármegye","Vas vármegye, 03. számú egyéni választókerület","64 962","62 796","1 858","308","64 203","62 796","1 407"
"Veszprém vármegye","Veszprém vármegye, 01. számú egyéni választókerület","68 910","66 132","2 011","767","68 339","66 132","2 207"
"Veszprém vármegye","Veszprém vármegye, 02. számú egyéni választókerület","73 610","69 452","3 116","1 042","72 446","69 452","2 994"
"Veszprém vármegye","Veszprém vármegye, 03. számú egyéni választókerület","65 389","62 347","2 492","550","63 964","62 347","1 617"
"Veszprém vármegye","Veszprém vármegye, 04. számú egyéni választókerület","66 545","64 240","1 862","443","65 336","64 240","1 096"
"Zala vármegye","Zala vármegye, 01. számú egyéni választókerület","72 878","69 410","2 841","627","70 690","69 410","1 280"
"Zala vármegye","Zala vármegye, 02. számú egyéni választókerület","72 881","69 197","2 993","691","71 381","69 197","2 184"
"Zala vármegye","Zala vármegye, 03. számú egyéni választókerület","69 422","66 509","2 384","529","67 869","66 509","1 360"
